group,concentration,cultivar,stem_volume,stem_nodes,length,bush,flowering_day,SPAD,T_N,PO,KO,CaO,MgO,fresh_weight,dry_weight,weight_difference,vase_life,petals,petal_size,L_1,a_1,b_1,L_6,a_6,b_6,L_9,a_9,b_9,L_11,a_11,b_11,L_14,a_14,b_14
NSV,0.1,KW,4.19,8,65.5,3,64,154,1.54,0.56,2.29,0.17,0.44,4.43,0.81,3.62,8,15,51.7,84.3,-0.89,3.59,86.08,0,12.89,87.95,-0.25,13.35,77.55,2.36,18.75,76.09,1.18,19.73
NSV,0.3,KW,3.08,6,34,4,76,130,1.43,0.89,2.33,0.14,0.45,3.46,1.42,2.04,8,10,48.379,86.98,-0.57,2.63,90.34,-0.73,3.67,91.76,-0.95,4.24,86.5,-0.05,6.58,85.37,-1.67,7.87
NSV,0.3,KW,4.52,8,68,3,62,146.6,1.45,0.87,2.35,0.17,0.52,4.11,0.48,3.63,8,15,43,91.74,-0.5,3.19,90.47,-0.84,2.97,92.46,-0.32,3.32,90.04,-0.12,7.08,88.42,-1.4,7.78
NSV,0.3,KW,4.25,7,60.5,3,68,131.6,1.43,0.88,2.32,0.14,0.46,4.06,1.4,2.66,8,15,39.72,89.83,-1,5.34,88.83,-0.91,3.97,89.72,-0.99,4.59,85.22,-0.77,12.57,84.28,-1.63,14.02
NSV,0.3,KW,4.12,7,41,3,75,129.4,1.43,0.88,2.32,0.14,0.46,3.14,0.7,2.44,10,10,41,88.61,-0.4,2.31,85.61,-0.88,2.99,87.47,-1.03,3.71,94.03,-0.59,5.68,92.25,-1.26,6.91
NSV,0.3,KW,5,7,58.5,4,76,160.6,1.41,0.87,2.35,0.17,0.52,3.98,0.7,3.28,12,15,37.83,90.23,-2.24,5.81,90.03,-0.74,3.08,91.44,-1.13,3.54,88.86,-1.68,5.94,87.65,-2.66,6.79
NSV,0.3,KW,3.6,7,46,3,75,118.7,1.43,0.88,2.32,0.14,0.46,3.8,0.52,3.28,8,10,39.05,92.04,-0.87,4,92.4,-0.95,4.14,93.85,-1.1,4.63,87.46,-0.52,7.45,86.5,-1.07,8.3
NSV,0.5,KW,3.87,8,54,3,74,148.9,1.47,0.89,2.3,0.18,0.45,5.57,0.62,4.95,8,15,48,87.79,-2.34,6.91,90.92,-2.85,8.84,91.66,-2.91,9.27,78.87,1.86,20.59,77.35,1.05,21.17
NSV,0.5,KW,4.08,7,64.5,2,65,173,1.46,0.88,2.35,0.22,0.51,4.19,0.92,3.27,16,15,36.37,88.75,-1.08,4.26,92.42,-1.03,3.96,93.12,-1.5,4.68,89.34,-0.71,5.38,87.68,-2.59,6.74
NSV,0.5,KW,3.65,8,56,3,77,130.1,1.46,0.86,2.28,0.18,0.45,3.53,0.55,2.98,16,10,41.63,73.65,-0.67,3.38,86.7,-0.55,3.28,87.88,-0.68,3.91,89.49,-0.2,3.49,86.24,-1.86,4.77
NSV,0.5,KW,4.56,7,51,4,78,136.5,1.46,0.86,2.28,0.18,0.45,3.11,0.57,2.54,8,10,42.74,91.19,-1.28,5.42,94.68,-1.03,5.34,95.39,-1.53,5.89,89.26,-0.83,8.86,87.76,-1.34,10.06
NSV,0.5,KW,4.2,7,59.5,3,75,138.4,1.47,0.87,2.29,0.18,0.45,3.29,0.86,2.43,8,10,44.89,92.4,-0.75,3.4,90.23,-0.76,3.37,92.01,-1.16,3.85,86.7,-0.42,14.12,85.01,-0.85,15.77
NSV,0.5,KW,3.92,7,48,3,65,126.6,1.46,0.86,2.28,0.18,0.45,2.92,0.84,2.08,8,10,40.55,84.94,-0.99,3.88,87.38,-1.05,3.62,88.99,-1.66,4.23,91.86,-0.53,8.97,90.27,-0.75,10.54
NSR,0,AG,4.19,8,52,4,64,115.4,1.12,1.47,3.23,0.18,0.65,3.52,1.94,1.58,10,12,55.63,79.13,-15.18,28.91,80.81,-15.14,30.24,81.55,-16.01,30.3,86.27,-10.6,24.78,81.23,-11.64,23.09
